T,P,vf,vg,uf,ug,hf,hfg,hg,sf,sg
-60,0.3749,0.0006833,0.537,-21.57,203.67,-21.55,245.35,223.81,-0.0964,1.0547
-50,0.6451,0.0006966,0.3239,-10.89,207.7,-10.85,239.44,228.6,-0.0474,1.0256
-45,0.829,0.0007037,0.2564,-5.5,209.7,-5.44,236.39,230.95,-0.0235,1.0126
-40,1.0522,0.0007109,0.2052,-0.07,211.68,0,233.27,233.27,0,1.0005
-36,1.2627,0.0007169,0.173,4.29,213.25,4.38,230.71,235.09,0.0186,0.9914
-32,1.5049,0.0007231,0.1468,8.68,214.8,8.79,228.1,236.89,0.0369,0.9828
-30,1.6389,0.0007262,0.1355,10.88,215.58,11,226.77,237.78,0.046,0.9787
-28,1.7819,0.0007294,0.1252,13.09,216.34,13.22,225.43,238.66,0.0551,0.9746
-26,1.9345,0.0007327,0.1159,15.31,217.11,15.45,224.08,239.53,0.0641,0.9707
-22,2.2698,0.0007393,0.0997,19.76,218.62,19.92,221.32,241.24,0.0819,0.9631
-20,2.4534,0.0007427,0.0926,21.99,219.37,22.17,219.91,242.09,0.0908,0.9595
-18,2.6482,0.0007462,0.0861,24.23,220.11,24.43,218.49,242.92,0.0996,0.9559
-16,2.8547,0.0007497,0.0802,26.48,220.85,26.69,217.05,243.74,0.1084,0.9525
-14,3.0733,0.0007533,0.0748,28.73,221.58,28.97,215.59,244.56,0.1171,0.949
-12,3.3044,0.0007569,0.0698,31,222.3,31.25,214.11,245.36,0.1258,0.9457
-10,3.5485,0.0007606,0.0652,33.27,223.02,33.54,212.62,246.15,0.1345,0.9424
-8,3.8062,0.0007644,0.061,35.54,223.73,35.83,211.1,246.93,0.1431,0.9392
-6,4.0777,0.0007683,0.0571,37.83,224.43,38.14,209.56,247.7,0.1517,0.9361
-4,4.3638,0.0007722,0.0535,40.12,225.13,40.46,208,248.45,0.1602,0.933
-2,4.6647,0.0007762,0.0501,42.42,225.82,42.78,206.41,249.2,0.1688,0.93
0,4.9811,0.0007803,0.047,44.73,226.5,45.12,204.81,249.92,0.1773,0.9271
2,5.3133,0.0007844,0.0442,47.04,227.17,47.46,203.18,250.64,0.1857,0.9241
4,5.6619,0.0007887,0.0415,49.37,227.83,49.82,201.52,251.34,0.1941,0.9213
6,6.0275,0.000793,0.0391,51.71,228.48,52.18,199.84,252.03,0.2025,0.9184
8,6.4105,0.0007974,0.0368,54.05,229.13,54.56,198.14,252.7,0.2109,0.9157
10,6.8113,0.000802,0.0346,56.4,229.76,56.95,196.4,253.35,0.2193,0.9129
12,7.2307,0.0008066,0.0326,58.77,230.38,59.35,194.64,253.99,0.2276,0.9102
16,8.1268,0.0008162,0.0291,63.53,231.59,64.19,191.02,255.21,0.2442,0.9048
20,9.103,0.0008263,0.0259,68.33,232.76,69.09,187.28,256.37,0.2607,0.8996
24,10.164,0.0008369,0.0232,73.19,233.87,74.04,183.4,257.44,0.2772,0.8944
28,11.313,0.000848,0.0208,78.09,234.92,79.05,179.37,258.43,0.2936,0.8893
32,12.556,0.0008599,0.0186,83.06,235.91,84.14,175.18,259.32,0.3101,0.8842
36,13.897,0.0008724,0.0168,88.08,236.83,89.29,170.82,260.11,0.3265,0.879
40,15.341,0.0008858,0.0151,93.18,237.66,94.53,166.25,260.79,0.3429,0.8738
45,17.298,0.0009039,0.0132,99.65,238.59,101.21,160.24,261.46,0.3635,0.8672
50,19.433,0.0009238,0.0116,106.26,239.34,108.06,153.84,261.9,0.3842,0.8603
60,24.281,0.0009705,0.0089,120,240.24,122.35,139.61,261.96,0.4264,0.8455
